iter	Passed	Remaining
0	96	96134
1	96	48334
2	98	32595
3	98	24554
4	99	19715
5	99	16501
6	100	14207
7	100	12469
8	101	11142
9	101	10068
10	102	9192
11	102	8463
12	103	7853
13	103	7314
14	104	6858
15	104	6450
16	105	6098
17	106	5783
18	106	5501
19	107	5245
20	107	5014
21	108	4804
22	108	4615
23	109	4440
24	109	4282
25	110	4134
26	110	3996
27	111	3868
28	112	3753
29	112	3639
30	113	3534
31	113	3436
32	114	3344
33	114	3257
34	115	3176
35	115	3101
36	116	3031
37	117	2963
38	117	2897
39	118	2835
40	118	2774
41	119	2716
42	119	2661
43	120	2609
44	120	2561
45	121	2515
46	121	2471
47	122	2427
48	122	2383
49	123	2341
50	123	2300
51	124	2260
52	124	2223
53	124	2188
54	125	2153
55	125	2121
56	126	2090
57	127	2062
58	127	2034
59	128	2006
60	128	1977
61	129	1951
62	129	1927
63	130	1901
64	130	1877
65	130	1853
66	131	1830
67	131	1804
68	132	1782
69	132	1761
70	133	1741
71	133	1723
72	134	1705
73	134	1687
74	135	1668
75	135	1649
76	136	1632
77	136	1614
78	137	1597
79	137	1581
80	137	1565
81	138	1550
82	138	1535
83	139	1521
84	139	1506
85	140	1493
86	140	1478
87	141	1466
88	141	1453
89	142	1441
90	143	1429
91	143	1418
92	144	1408
93	145	1399
94	145	1389
95	146	1378
96	146	1367
97	147	1356
98	147	1345
99	148	1334
100	148	1324
101	148	1311
102	149	1301
103	149	1291
104	150	1282
105	150	1273
106	151	1264
107	152	1257
108	152	1250
109	153	1242
110	154	1234
111	154	1226
112	155	1218
113	155	1209
114	156	1201
115	156	1192
116	156	1184
117	157	1177
118	157	1169
119	158	1162
120	159	1155
121	159	1148
122	159	1139
123	160	1132
124	160	1125
125	161	1117
126	161	1111
127	161	1103
128	162	1097
129	163	1091
130	163	1084
131	164	1079
132	164	1075
133	165	1069
134	166	1064
135	166	1058
136	167	1052
137	167	1046
138	168	1040
139	168	1034
140	168	1029
141	169	1023
142	169	1017
143	170	1013
144	171	1009
145	171	1005
146	172	1000
147	172	995
148	173	990
149	173	985
150	174	981
151	174	975
152	175	971
153	175	966
154	176	961
155	177	957
156	177	953
157	178	949
158	178	944
159	179	940
160	179	936
161	180	932
162	180	928
163	181	924
164	181	920
165	182	916
166	182	912
167	183	908
168	184	905
169	184	901
170	185	897
171	185	893
172	186	889
173	186	885
174	186	881
175	187	877
176	187	873
177	188	870
178	188	866
179	189	863
180	189	858
181	190	855
182	190	851
183	191	847
184	191	844
185	192	840
186	192	836
187	192	833
188	193	829
189	193	826
190	194	822
191	194	819
192	195	816
193	195	814
194	196	811
195	197	808
196	197	805
197	198	802
198	198	799
199	198	795
200	199	792
201	199	790
202	200	786
203	200	784
204	201	781
205	201	778
206	202	776
207	203	773
208	203	770
209	204	767
210	204	764
211	205	762
212	205	759
213	205	756
214	206	753
215	206	750
216	207	748
217	207	745
218	208	743
219	209	741
220	209	738
221	210	736
222	210	733
223	210	730
224	211	728
225	211	725
226	212	723
227	212	720
228	213	718
229	213	715
230	214	712
231	214	711
232	215	709
233	216	707
234	216	705
235	217	702
236	217	700
237	218	698
238	218	695
239	218	693
240	219	691
241	220	689
242	220	686
243	221	685
244	221	683
245	222	681
246	222	679
247	223	676
248	223	674
249	224	672
250	224	670
251	225	668
252	225	666
253	226	664
254	226	662
255	227	660
256	227	658
257	228	657
258	228	655
259	229	652
260	229	650
261	230	648
262	230	646
263	231	644
264	231	642
265	232	640
266	232	638
267	233	636
268	233	634
269	234	633
270	234	631
271	235	630
272	235	628
273	236	626
274	236	624
275	237	622
276	237	620
277	238	618
278	238	616
279	239	615
280	239	613
281	240	611
282	241	610
283	241	609
284	242	607
285	242	605
286	243	604
287	243	602
288	244	600
289	244	599
290	245	597
291	245	596
292	246	594
293	247	593
294	247	591
295	248	590
296	248	588
297	249	587
298	249	585
299	250	583
300	250	582
301	251	580
302	251	579
303	252	577
304	252	576
305	253	574
306	254	573
307	254	572
308	255	570
309	255	569
310	256	567
311	256	566
312	257	564
313	257	562
314	258	561
315	258	559
316	259	558
317	259	557
318	260	555
319	260	554
320	261	552
321	261	551
322	262	549
323	262	547
324	262	546
325	263	544
326	263	543
327	264	541
328	265	540
329	265	539
330	266	538
331	266	536
332	267	535
333	267	533
334	268	532
335	268	530
336	268	529
337	269	527
338	270	526
339	270	525
340	271	524
341	271	523
342	272	521
343	272	520
344	273	519
345	274	518
346	274	516
347	275	515
348	275	513
349	275	512
350	276	511
351	277	510
352	277	508
353	278	507
354	278	506
355	279	504
356	279	503
357	280	502
358	280	500
359	281	499
360	281	498
361	282	497
362	282	495
363	283	494
364	283	493
365	284	492
366	284	491
367	285	489
368	285	488
369	286	487
370	286	486
371	287	484
372	287	483
373	288	482
374	288	481
375	289	480
376	290	479
377	291	479
378	291	478
379	292	477
380	293	476
381	293	475
382	294	473
383	294	473
384	295	472
385	296	471
386	296	470
387	297	469
388	297	467
389	298	466
390	298	465
391	299	464
392	299	463
393	300	461
394	300	460
395	301	459
396	301	458
397	302	457
398	302	456
399	303	455
400	303	453
401	304	452
402	304	451
403	305	450
404	305	449
405	306	448
406	306	446
407	307	445
408	307	444
409	308	443
410	308	442
411	309	441
412	309	440
413	310	439
414	310	438
415	311	437
416	311	436
417	312	434
418	312	433
419	313	432
420	313	431
421	314	430
422	315	429
423	315	428
424	316	427
425	316	426
426	317	425
427	317	424
428	318	423
429	318	422
430	319	421
431	319	420
432	320	419
433	320	418
434	321	417
435	321	416
436	322	415
437	323	414
438	323	413
439	324	412
440	324	411
441	325	410
442	325	409
443	326	408
444	326	407
445	327	406
446	328	405
447	328	405
448	329	404
449	329	403
450	330	402
451	330	401
452	331	400
453	331	399
454	332	398
455	333	397
456	333	396
457	334	395
458	334	394
459	335	393
460	335	392
461	336	391
462	336	390
463	337	389
464	338	388
465	338	387
466	339	386
467	339	386
468	340	385
469	340	384
470	341	383
471	341	382
472	342	381
473	342	380
474	343	379
475	343	378
476	344	377
477	344	376
478	345	375
479	346	374
480	346	373
481	347	373
482	347	372
483	348	371
484	348	370
485	349	369
486	349	368
487	350	367
488	350	366
489	351	365
490	351	364
491	352	363
492	353	363
493	353	362
494	354	361
495	354	360
496	355	359
497	355	358
498	356	357
499	356	356
500	357	355
501	357	354
502	358	353
503	358	352
504	359	352
505	359	351
506	360	350
507	360	349
508	361	348
509	361	347
510	362	346
511	362	345
512	363	344
513	363	343
514	364	343
515	364	342
516	365	341
517	365	340
518	366	339
519	366	338
520	367	337
521	367	336
522	368	335
523	368	334
524	369	333
525	369	333
526	370	332
527	370	331
528	371	330
529	371	329
530	372	328
531	372	328
532	373	327
533	373	326
534	374	325
535	374	324
536	375	323
537	375	322
538	376	321
539	376	321
540	377	320
541	377	319
542	378	318
543	378	317
544	379	316
545	379	315
546	379	314
547	380	313
548	380	312
549	381	311
550	381	311
551	382	310
552	382	309
553	383	308
554	383	307
555	384	306
556	384	305
557	384	304
558	385	304
559	385	303
560	386	302
561	386	301
562	387	300
563	387	299
564	388	298
565	388	297
566	388	297
567	389	296
568	390	295
569	390	294
570	390	293
571	391	292
572	391	291
573	392	291
574	392	290
575	393	289
576	393	288
577	394	287
578	394	286
579	395	286
580	395	285
581	396	284
582	396	283
583	397	282
584	397	282
585	398	281
586	398	280
587	399	279
588	399	278
589	400	278
590	400	277
591	401	276
592	401	275
593	402	275
594	402	274
595	403	273
596	404	272
597	404	271
598	405	271
599	405	270
600	406	269
601	406	268
602	407	267
603	407	267
604	407	266
605	408	265
606	409	264
607	409	263
608	409	263
609	410	262
610	410	261
611	411	260
612	411	259
613	412	259
614	412	258
615	413	257
616	413	256
617	414	255
618	414	255
619	415	254
620	415	253
621	416	252
622	416	252
623	417	251
624	417	250
625	418	249
626	418	248
627	419	248
628	419	247
629	419	246
630	420	245
631	421	245
632	421	244
633	422	243
634	422	243
